"GDP, current prices (Billions of U.S. dollars)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
Romania,46.053,55.319,55.375,48.401,39.111,48.286,52.29,58.477,60.538,54.236,38.516,29.07,19.779,26.624,30.376,35.838,35.692,35.644,42.543,35.953,37.281,40.395,46.065,57.806,74.974,98.454,122.024,174.589,214.317,174.102,166.309,183.326,170.636,190.8,199.961,177.731,188.13,211.696,241.456,249.695,248.716,287.279,314.876,345.319,372.625,401.438,430.219
Russian Federation,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1045.455,856.322,71.603,196.227,293.768,335.777,412.685,433.704,287.672,209.657,278.264,328.475,370.062,461.518,633.294,817.717,1060.901,1393.416,1779.109,1307.927,1633.111,2046.621,2191.484,2288.428,2048.836,1356.704,1280.648,1575.14,1653.005,1690.05,1478.571,1647.568,1703.527,1753.94,1813.296,1876.468,1943.775
Rwanda,1.493,1.695,1.808,1.932,1.851,2.199,2.49,2.765,2.959,3.09,2.954,2.179,2.313,2.231,1.418,1.47,1.593,2.144,2.29,2.131,2.049,1.967,1.961,2.137,2.388,2.943,3.317,4.068,5.179,5.671,6.121,6.881,7.651,7.816,8.234,8.542,8.691,9.253,9.641,10.356,10.332,10.395,11.035,11.935,12.873,14.004,15.145
Saint Kitts and Nevis,0.058,0.069,0.079,0.078,0.091,0.101,0.119,0.136,0.161,0.179,0.203,0.201,0.223,0.243,0.272,0.293,0.312,0.351,0.366,0.389,0.421,0.458,0.481,0.469,0.507,0.547,0.644,0.689,0.778,0.774,0.779,0.836,0.826,0.875,0.954,0.958,1.009,1.061,1.079,1.165,0.981,0.976,1.092,1.157,1.21,1.262,1.322
Saint Lucia,0.17,0.194,0.183,0.197,0.251,0.284,0.34,0.375,0.43,0.487,0.58,0.614,0.674,0.685,0.714,0.763,0.789,0.806,0.877,0.922,0.933,0.892,0.9,0.987,1.067,1.136,1.268,1.336,1.438,1.402,1.487,1.577,1.606,1.666,1.756,1.81,1.866,1.997,2.065,2.119,1.617,1.715,1.998,2.218,2.352,2.441,2.527
Saint Vincent and the Grenadines,0.082,0.102,0.114,0.122,0.135,0.146,0.161,0.176,0.201,0.215,0.24,0.255,0.278,0.286,0.289,0.316,0.331,0.348,0.374,0.391,0.396,0.43,0.462,0.482,0.522,0.551,0.611,0.684,0.695,0.675,0.681,0.676,0.693,0.721,0.728,0.755,0.774,0.792,0.811,0.825,0.807,0.769,0.855,0.929,0.99,1.043,1.093
Samoa,0.124,0.116,0.119,0.11,0.108,0.103,0.109,0.121,0.135,0.138,0.177,0.172,0.188,0.193,0.154,0.236,0.251,0.273,0.265,0.255,0.255,0.263,0.286,0.347,0.416,0.478,0.499,0.567,0.659,0.61,0.673,0.758,0.759,0.764,0.757,0.788,0.799,0.832,0.837,0.846,0.812,0.78,0.808,0.86,0.912,0.967,1.018
San Marino,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1.714,1.789,1.91,2.189,2.403,2.062,1.883,1.813,1.606,1.678,1.674,1.42,1.468,1.528,1.656,1.616,1.554,1.728,1.831,1.905,1.975,2.052,2.127
Saudi Arabia,164.539,184.292,153.24,129.181,119.631,103.894,86.886,85.582,88.138,95.217,117.473,132.047,136.905,132.79,134.995,143.152,158.451,165.742,146.775,161.717,189.514,184.138,189.606,215.807,258.742,328.206,376.398,415.687,519.797,429.098,528.207,671.239,735.975,746.647,756.35,654.27,644.935,688.586,786.522,792.966,700.118,842.588,876.148,899.11,928.813,963.152,1006.084
Senegal,4.338,3.934,3.85,3.435,3.35,3.668,5.188,6.241,6.173,6.083,7.078,6.955,7.435,7.014,4.746,6.026,6.3,5.867,6.416,6.599,6.016,6.508,7.001,8.767,10.072,11.015,11.699,13.996,16.852,16.128,16.134,17.811,17.672,18.919,19.802,17.777,19.035,20.989,23.127,23.307,24.681,27.576,30.039,34.343,37.559,40.763,43.953
Serbia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,22.244,17.423,11.376,9.318,12.321,16.188,21.234,24.76,27.515,32.625,43.425,52.13,45.188,41.397,49.314,43.33,48.428,47.095,39.656,40.693,44.179,50.641,51.475,52.96,60.669,65.697,71.326,76.883,83.069,89.456
Seychelles,0.147,0.154,0.148,0.147,0.151,0.169,0.208,0.249,0.284,0.305,0.369,0.374,0.434,0.474,0.486,0.508,0.503,0.563,0.608,0.623,0.615,0.622,0.698,0.706,0.839,0.919,1.016,1.034,0.998,0.847,0.97,1.018,1.06,1.328,1.343,1.377,1.426,1.528,1.542,1.58,1.138,1.288,1.751,1.942,2.124,2.326,2.557
Sierra Leone,1.701,1.823,2.05,1.782,2.062,1.755,1.314,1.145,1.877,1.724,0.948,1.138,0.992,1.122,1.331,1.273,1.374,1.24,0.981,0.977,0.941,1.084,1.25,1.38,1.439,1.61,1.884,2.159,2.511,2.454,2.578,2.942,3.802,4.916,5.007,4.252,3.855,3.713,4.085,4.119,4.202,4.407,4.587,4.629,4.753,4.959,5.226
Singapore,12.082,14.367,15.879,18.011,19.563,18.573,18.78,21.629,26.551,31.436,38.892,45.465,52.131,60.604,73.689,87.813,96.293,100.124,85.728,86.287,96.077,89.794,92.538,97.646,115.034,127.808,148.627,180.942,193.617,194.15,239.808,279.357,295.093,307.576,314.864,307.999,318.753,343.332,375.963,374.39,339.981,378.645,396.995,418.39,440.071,461.509,483.455
Slovak Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,13.726,15.838,20.034,21.659,21.927,22.825,20.867,20.73,21.421,24.888,34.085,43.19,49.116,57.492,77.239,97.17,89.302,90.473,99.235,94.589,98.878,101.351,88.512,89.691,95.411,105.574,105.131,104.491,116.748,127.497,137.632,147.03,156.299,164.9
Slovenia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,19.271,16.626,16.845,21.384,21.516,20.805,22.168,22.77,20.393,20.901,23.539,29.673,34.448,36.26,39.514,48.073,55.773,50.513,48.248,51.575,46.607,48.416,50.01,43.112,44.754,48.572,54.188,54.185,53.547,60.89,65.475,70.134,74.707,79.393,84.129
Solomon Islands,0.183,0.194,0.193,0.181,0.182,0.166,0.148,0.155,0.176,0.173,0.215,0.228,0.269,0.301,0.403,0.469,0.511,0.527,0.458,0.488,0.42,0.41,0.346,0.353,0.398,0.477,0.539,0.62,0.699,0.736,0.847,1.05,1.191,1.285,1.338,1.311,1.381,1.458,1.566,1.579,1.562,1.649,1.798,1.972,2.121,2.256,2.396
Somalia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,3.499,3.611,3.892,3.964,4.049,4.198,4.509,4.651,5.061,4.99,5.424,5.888,6.611,7.385,8.061,8.764
South Africa,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,147.236,153.569,171.736,163.34,169.004,152.885,151.426,151.855,135.527,129.385,197.017,256.188,288.75,304.055,332.65,316.491,331.184,417.315,458.708,434.4,400.877,381.195,346.663,323.493,381.317,404.673,387.849,335.344,415.315,435.212,453.604,471.944,490.527,532.92
"South Sudan, Republic of",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,17.186,11.267,14.947,15.383,14.801,3.501,3.495,4.659,4.589,4.44,3.263,4.575,5.85,6,6.002,7.207
Spain,230.759,204.588,197.643,172.856,172.381,181.62,251.304,318.389,374.068,412.59,535.652,576.446,630.122,529.319,531.137,613.946,640.026,589.376,618.414,635.968,598.628,627.834,708.256,907.264,1068.57,1154.354,1260.466,1474.176,1631.685,1489.853,1423.27,1480.45,1325.583,1355.162,1371.576,1195.721,1232.573,1312.076,1421.639,1393.2,1280.459,1439.958,1570.91,1659.884,1742.699,1819.731,1893.262
Sri Lanka,5.024,5.228,5.644,6.093,7.142,7.064,7.571,7.884,8.24,8.271,9.468,10.367,11.176,11.948,13.781,14.635,16.051,17.94,18.429,18.519,19.355,18.609,19.579,21.624,23.628,27.939,32.357,37.023,46.608,48.129,56.732,65.265,68.381,74.253,79.312,80.557,82.39,87.422,87.922,83.978,80.7,80.785,83.315,88.909,94.971,101.438,108.343
Sudan,9.095,6.53,4.748,6.485,7.992,5.547,7.4,11.964,9.551,16.853,2.245,2.528,3.1,5.246,5.961,6.694,8.377,10.241,10.924,10.714,13.134,15.716,18.137,21.355,26.646,35.183,45.264,59.44,64.833,54.812,65.716,66.448,48.948,52.892,60.726,64.536,64.883,47.837,33.432,33.564,34.396,35.919,37.769,40.285,43.716,47.597,51.665
Suriname,1.276,1.427,1.469,1.419,1.387,1.402,1.43,1.573,1.864,2.177,0.577,0.637,0.59,0.465,0.523,0.993,1.234,1.322,1.588,1.308,1.355,1.167,1.474,1.729,2,2.393,2.812,3.144,3.783,4.15,4.677,4.735,5.332,5.51,5.612,5.126,3.317,3.592,3.996,3.984,2.884,2.817,2.937,3.114,3.271,3.431,3.6
Sweden,140.384,128.148,113.059,103.89,108.255,113.249,149.633,181.991,205.883,216.691,259.9,272.205,283.228,212.953,229.034,267.307,291.746,268.146,270.81,274.071,262.834,242.395,266.848,334.337,385.119,392.219,423.091,491.255,517.706,436.536,495.813,574.094,552.484,586.842,581.964,505.104,515.655,541.019,555.455,533.88,541.064,622.365,660.918,711.241,747.591,792.47,837.192
Switzerland,122.701,112.293,114.856,114.512,109.596,111.242,159.381,199.367,215.521,208.386,266.214,269.391,279.957,272.079,301.353,353.265,340.773,295.258,303.777,298.195,279.926,287.536,310.611,363.382,405.064,420.139,443.854,493.903,570.059,558.093,602.885,721.673,692.382,713.232,734.703,702.195,695.434,704.758,736.089,732.492,751.877,810.83,862.819,897.979,945.739,986.27,1038.791
Syria,12.98,16.652,17.415,18.649,19.171,21.177,25.428,32.497,16.538,9.849,12.303,12.738,13.263,13.796,15.105,16.556,17.761,16.573,16.144,16.785,19.861,20.979,22.758,21.702,25.204,28.881,33.824,40.488,52.631,53.939,60.043,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
São Tomé and Príncipe,0.069,0.084,0.081,0.076,0.079,0.083,0.117,0.117,0.1,0.099,0.12,0.108,0.096,0.127,0.132,0.104,0.136,0.093,0.073,0.078,0.077,0.072,0.08,0.096,0.104,0.125,0.133,0.145,0.188,0.188,0.197,0.233,0.253,0.303,0.349,0.318,0.348,0.376,0.416,0.431,0.477,0.534,0.573,0.616,0.662,0.711,0.772
Taiwan Province of China,42.285,48.969,49.535,54.148,61.071,63.617,78.195,105.039,126.473,152.704,166.622,187.14,222.911,236.339,256.247,279.059,292.494,303.284,279.964,303.83,330.68,299.276,307.439,317.381,346.924,374.06,386.45,406.907,415.901,390.829,444.281,483.974,495.61,512.943,535.328,534.515,543.081,590.733,609.198,612.168,668.156,785.589,850.528,899.873,953.314,999.548,1048.518
Tajikistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.291,0.678,0.829,0.569,1.052,1.121,1.32,1.087,0.991,1.057,1.212,1.555,2.073,2.311,2.811,3.712,5.135,4.977,5.642,6.523,7.592,8.506,9.242,7.857,6.953,7.144,7.52,8.117,7.997,8.104,8.756,9.304,9.87,10.498,11.063
Tanzania,10.873,13.005,14.932,15.294,13.915,12.556,15.874,7.821,7.474,6.444,5.172,6.019,5.588,5.17,5.478,6.382,7.889,9.341,11.481,11.777,12.369,12.61,13.125,14.159,15.576,17.174,18.867,21.807,27.762,28.985,31.533,34.067,39.651,45.681,50.002,47.384,49.774,53.227,56.699,60.81,64.403,69.238,74.536,80.081,86.199,92.945,100.211
Thailand,33.422,35.999,37.799,41.366,43.179,40.185,44.52,52.204,63.704,74.637,88.467,101.247,115.576,128.889,146.684,169.279,183.035,150.18,113.676,126.539,126.132,120.105,134.177,152.142,172.752,189.084,221.579,263.007,290.97,281.399,340.928,370.929,397.722,420.364,407.373,401.142,413.497,456.523,506.403,544.21,501.712,546.223,585.586,617.041,654.644,694.098,734.757
Timor-Leste,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.367,0.477,0.469,0.49,0.441,0.462,0.454,0.543,0.648,0.727,0.882,1.055,1.148,1.396,1.447,1.594,1.651,1.599,1.56,2.018,1.777,1.697,1.782,1.875,1.967,2.103,2.253
Togo,1.994,1.656,1.396,1.33,1.222,1.281,1.795,2.107,2.345,2.302,2.772,2.74,2.873,2.189,1.697,2.24,2.448,2.494,2.361,2.37,2.014,2,2.301,2.854,3.048,3.08,3.173,3.592,4.483,4.554,4.63,5.223,5.229,5.831,6.174,5.641,6.03,6.393,7.115,7.221,7.586,8.493,9.357,10.267,11.241,12.286,13.383
Tonga,0.071,0.079,0.079,0.077,0.081,0.076,0.09,0.098,0.115,0.139,0.144,0.169,0.178,0.183,0.189,0.207,0.218,0.222,0.212,0.197,0.203,0.181,0.183,0.202,0.231,0.262,0.292,0.299,0.344,0.312,0.367,0.415,0.471,0.451,0.44,0.437,0.421,0.46,0.486,0.517,0.499,0.501,0.54,0.569,0.602,0.631,0.663
Trinidad and Tobago,6.343,7.113,8.28,7.898,7.891,7.503,4.877,4.88,4.574,4.397,5.155,5.399,5.533,4.656,5.032,5.421,5.859,5.837,6.148,6.925,8.295,8.96,9.148,11.464,13.472,16.17,18.6,22.006,28.233,19.562,22.522,25.789,25.763,27.268,27.616,24.96,22.394,22.385,23.68,23.208,21.587,21.599,23.082,23.885,24.594,25.322,26.075
Tunisia,9.566,9.223,8.9,9.202,9.054,9.245,9.91,10.663,11.073,11.069,13.474,14.202,16.978,15.944,17.052,19.654,21.283,20.747,21.803,22.943,21.474,22.066,23.142,27.454,31.184,32.272,34.377,38.915,44.844,43.466,44.054,45.81,45.044,46.248,47.634,43.172,41.801,39.627,40.139,39.169,39.219,42.733,45.454,47.915,50.505,52.927,55.093
Turkey,96.596,97.865,88.918,84.968,82.642,92.827,102.337,118.926,125.032,147.727,207.508,208.402,219.176,248.573,179.359,233.566,250.486,261.857,275.834,256.566,274.321,202.248,240.191,314.752,409.127,506.186,555.126,680.489,770.82,648.797,776.558,838.508,880.141,957.504,938.512,864.071,869.28,858.932,779.694,760.516,719.919,795.952,844.534,946.01,1060.673,1190.495,1333.772
Turkmenistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1.629,9.187,7.781,10.063,4.076,4.593,4.903,6.608,8.604,11.878,14.904,19.571,24.32,29.421,36.65,44.476,36.861,34.63,34.877,45.153,51.756,53.124,57.897,42.162,38.502,41.385,40.762,46.264,45.609,53.087,60.263,66.63,73.864,82.072,91.377
Tuvalu,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.015,0.014,0.017,0.02,0.023,0.023,0.024,0.029,0.032,0.028,0.032,0.04,0.039,0.039,0.039,0.037,0.041,0.045,0.048,0.054,0.055,0.065,0.07,0.076,0.082,0.088,0.094
Uganda,7.486,12.12,8.41,9.619,7.399,6.771,6.746,10.878,11.268,9.136,7.452,3.897,3.645,4.311,6.24,7.473,7.713,8.407,8.23,7.823,7.756,7.835,8.425,8.725,10.75,12.46,14.079,17.512,22.419,24.107,24.683,27.501,30.939,32.331,33.122,27.445,29.598,31.398,34.223,38.001,38.141,43.243,47,49.439,54.329,61.29,69.044
Ukraine,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,22.193,35.025,38.012,38.275,46.083,51.867,43.315,32.661,32.331,37.863,42.339,50.096,64.752,85.996,107.767,143.26,181.313,117.079,136.011,163.161,175.707,179.574,130.571,90.477,93.313,112.114,130.916,153.997,155.3,181.038,203.925,222.822,243.082,266.319,290.806
United Arab Emirates,40.415,45.002,41.848,38.345,38.012,37.31,29.568,32.466,32.999,38.09,49.09,49.821,52.208,53.438,57.45,63.637,70.991,76.171,73.394,82.865,103.893,103.312,109.816,124.346,147.824,180.617,222.117,257.916,315.475,253.547,289.787,350.666,374.591,390.108,403.137,358.135,357.045,385.605,422.215,417.216,358.869,410.158,427.93,443.251,460.524,480.027,501.814
United Kingdom,603.983,587.652,558.72,532.476,504.571,536.938,655.086,813.006,989.57,1007.448,1193.691,1247.882,1289.065,1154.118,1239.716,1341.878,1416.838,1558.529,1651.775,1682.59,1661.335,1639.079,1782.892,2052.787,2413.134,2535.643,2709.826,3094.593,2952.326,2421.024,2484.017,2660.794,2704.498,2785.062,3067.117,2933.433,2703.242,2664.705,2860.982,2833.301,2709.678,3108.416,3442.205,3582.338,3761.685,3959.37,4161.703
United States,2857.325,3207.025,3343.8,3634.025,4037.65,4339,4579.625,4855.25,5236.425,5641.6,5963.125,6158.125,6520.325,6858.55,7287.25,7639.75,8073.125,8577.55,9062.825,9631.175,10250.95,10581.925,10929.1,11456.45,12217.175,13039.2,13815.6,14474.25,14769.85,14478.05,15048.975,15599.725,16253.95,16843.225,17550.675,18206.025,18695.1,19479.625,20527.15,21372.6,20893.75,22939.58,24796.076,25938.159,26980.364,28035.085,29102.501
Uruguay,12.165,13.578,11.1,6.093,5.794,5.662,7.029,8.794,9.098,9.589,11.156,13.445,15.451,17.999,20.965,23.152,24.613,26.044,27.587,26.066,24.804,22.712,14.809,13.109,14.892,18.901,21.314,25.486,32.988,34.395,43.763,52.103,55.692,62.499,62.178,57.874,57.237,64.234,64.766,61.931,56.577,60.108,63.741,65.862,68.59,71.617,74.554
Uzbekistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,4.476,6.897,8.175,12.746,17.453,18.433,18.738,21.362,17.195,14.581,12.106,12.697,15.045,17.939,21.344,27.963,35.858,41.945,49.772,60.213,67.52,73.192,80.848,85.662,85.658,61.018,52.618,59.907,59.928,65.503,72.762,80.97,90.384,100.607,111.963
Vanuatu,0.121,0.114,0.114,0.117,0.144,0.132,0.128,0.139,0.158,0.154,0.169,0.201,0.209,0.2,0.234,0.249,0.261,0.273,0.262,0.268,0.272,0.257,0.262,0.315,0.365,0.39,0.435,0.517,0.582,0.59,0.652,0.738,0.736,0.755,0.774,0.744,0.775,0.88,0.928,0.928,0.932,0.999,1.06,1.127,1.194,1.253,1.315
Venezuela,69.841,78.367,79.998,79.672,57.826,59.865,60.877,46.854,60.378,44.672,48.391,53.382,60.4,59.865,58.357,77.427,70.536,85.684,91.836,97.517,117.596,123.119,95.258,83.684,112.254,143.375,178.521,232.857,306.764,268.624,318.281,352.54,352.191,258.993,203.822,323.595,279.249,143.841,98.4,63.96,47.255,44.893,43.546,no data,no data,no data,no data
Vietnam,35.357,17.617,23.369,35.204,61.171,19.045,43.009,53.385,29.501,7.991,8.217,9.704,12.528,16.736,20.712,26.407,31.352,34.146,34.58,36.444,39.585,41.297,44.563,50.233,62.877,73.197,84.301,98.426,124.756,129.022,143.212,171.312,195.169,212.728,232.888,236.795,252.146,277.071,303.091,327.873,343.114,368.002,415.493,461.023,512.99,570.036,630.465
West Bank and Gaza,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2.843,3.283,3.41,3.76,4.068,4.271,4.314,4.004,3.556,3.968,4.603,5.126,5.348,5.816,7.31,8.086,9.682,11.186,12.208,13.516,13.99,13.972,15.405,16.128,16.277,17.134,15.561,17.343,18.784,19.952,20.812,21.606,22.399
Yemen,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,12.644,14.665,17.959,21.737,28.019,12.796,6.496,6.838,6.322,7.639,9.679,9.853,10.693,11.778,13.868,16.732,19.063,21.651,26.911,25.13,30.907,32.726,35.401,40.415,43.229,42.444,31.318,26.842,21.606,21.888,18.841,19.471,20.02,21.371,22.711,24.257,25.617
Zambia,4.246,4.385,4.232,3.653,3.003,2.848,1.962,2.431,4.095,4.365,4.085,3.69,3.614,3.549,3.657,3.799,3.599,4.303,3.538,3.405,3.601,3.87,4.194,4.902,6.221,8.329,12.762,14.06,17.914,15.332,20.264,23.455,25.502,28.042,27.145,21.245,20.965,25.874,26.312,23.309,19.319,21.699,23.967,24.499,25.245,26.543,28.024
Zimbabwe,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,10.144,9.45,7.793,7.569,7.959,8.263,10.117,10.386,12.099,11.769,11.34,11.244,10.735,9.574,9.465,9.046,8.141,7.785,6.707,9.666,12.042,14.102,17.115,19.091,19.496,19.963,20.549,22.041,23.516,19.587,21.924,25.791,27.806,27.995,28.483,29.713,31.568
Africa (Region),470.819,479.562,484.751,465.288,407.848,400.741,441.047,494.573,524.683,564.182,656.882,605.786,606.389,604.658,594.224,707.424,789.419,819.942,828.75,685.948,705.801,683.1,698.602,840.69,1004.726,1181.302,1361.355,1587.115,1835.249,1743.57,2044.198,2275.845,2424.463,2502.527,2584.357,2353.868,2237.952,2257.39,2405.657,2473.202,2391.75,2687.173,2918.196,3158.644,3405.493,3680.687,4008.741
Asia and Pacific,2354.583,2515.627,2447.025,2600.981,2758.322,2811.566,3587.107,4261.239,5086.491,5286.148,5513.1,6074.608,6656.169,7496.887,8125.546,9232.181,9010.314,8667.268,7839.145,8713.242,9331.576,8705.793,8939.914,9976.226,11256.702,12172.141,13028.525,14894.18,16853.023,17327.649,20240.625,23288.04,24742.562,25118.456,26035.948,25812.208,26864.722,28798.15,30891.366,31732.644,31730.164,35134.628,37989.487,40926.059,43833.28,46843.964,49947.362
Australia and New Zealand,185.153,211.512,209.919,201.61,219.129,196.58,208.544,249.648,316.048,351.813,369.17,367.223,359.005,353.554,405.466,440.396,492.637,494.433,437.414,469.924,453.252,429.837,486.466,622.051,758.299,847.291,891.041,1082.745,1190.868,1120.684,1397.157,1680.638,1744.343,1705.594,1657.523,1411.051,1452.152,1589.043,1631.199,1602.771,1568.756,1858.196,1945.087,2054.447,2159.384,2264.209,2371.556
Caribbean,18.103,19.8,21.863,21.782,21.786,22.232,21.199,20.1,20.49,22.065,22.403,22.273,22.011,22.706,25.807,31.529,34.056,36.806,39.565,42.145,44.293,44.694,46.372,47.915,53.128,60.129,65.599,74.222,83.808,73.653,78.951,85.609,88.712,91.327,92.774,91.04,86.617,89.788,94.899,94.316,83.293,93.434,99.95,106.908,111.434,116,120.733
Central America,34.6,34.871,35.303,37.123,44.212,38.356,37.626,37.249,35.512,39.978,36.454,45.663,51.857,56.71,62.199,69.247,74.07,80.813,87.502,88.669,94.03,99.289,104.707,102.597,109.741,131.591,144.141,164.073,184.771,184.664,205.556,230.724,248.756,263.77,281.268,301.142,317.761,336.327,349.305,361.503,332.384,361.775,386.51,409.916,436.063,463.979,494.199
Central Asia and the Caucasus,96.596,97.865,88.918,84.968,82.642,92.827,102.337,118.926,125.032,147.727,207.508,208.402,230.666,273.296,212.889,280.741,303.847,319.148,334.44,313.046,331.099,264.344,311.122,400.067,518.604,646.372,742.07,926.608,1071.347,926.42,1109.432,1258.35,1338.7,1458.937,1440.475,1287.226,1226.033,1231.016,1163.776,1163.489,1103.715,1229.249,1308.283,1445.204,1596.881,1765.165,1951.186
East Asia,1570.583,1688.782,1605.841,1749.453,1854.844,1941.951,2662.527,3220.455,3933.413,4048.669,4123.193,4680.611,5165.012,5912.524,6417.057,7268.567,6847.813,6503.049,5955.521,6692.382,7254.026,6726.243,6751.073,7359.836,8153.441,8614.332,8991.802,9930.594,11373.93,11931.686,13616.575,15721.676,16860.511,17009.111,17744.739,17880.128,18605.016,19762.639,21588.103,22117.099,22577.976,24959.532,27010.808,29068.11,31071.098,33118.356,35202.339
Eastern Europe ,160.124,169.825,183.443,185.514,177.958,176.996,183.502,186.925,218.547,212.447,1208.372,1004.597,301.459,458.491,598.651,771.31,891.17,936.871,816.633,702.928,764.913,866.666,979.435,1195.041,1523.042,1865.69,2262.948,2925.983,3656.656,2859.908,3234.205,3824.572,3880.897,4069.763,3827.71,2884.322,2834.405,3306.744,3603.949,3696.753,3458.992,3880.569,4149.177,4396.136,4647.08,4910.911,5179.395
Europe,4006.392,3603.898,3489.381,3400.689,3267.826,3380.819,4556.447,5596.941,6262.572,6363.75,8841.442,9123.681,9130.68,8480.632,9109.103,10529.935,10832.524,10285.752,10459.38,10355.607,9735.44,9899.876,10824.061,13144.445,15270.937,16176.316,17492.178,20399.708,22409.219,19690.669,20010.692,22029.541,21092.996,21984.286,22333.343,19183.684,19192.708,20394.592,22006.071,21708.916,20924.682,23498.813,25268.671,26530.208,27795.438,29092.727,30394.159
Middle East (Region),402.899,435.914,415.639,427.294,428.786,419.585,427.727,521.236,540.262,611.937,886.443,616.325,399.41,422.737,470.983,530.296,610.67,656.159,659.52,772.65,958.403,895.878,721.615,806.606,970.925,1184.02,1394.976,1656.572,2074.423,1828.876,2162.018,2582.013,2570.9,2685.221,2763.807,2396.58,2403.675,2592.959,2840.969,2986.108,2917.591,3523.065,3721.448,3877.183,4048.476,4230.883,4430.959
North Africa,136.375,130.856,135.728,142.243,147.289,163.702,169.372,195.527,206.281,232.288,232.278,175.496,178.432,179.009,178.428,196.689,218.187,224.38,230.945,244.435,258.104,252.655,232.874,258.731,291.993,339.275,387.91,457.679,553.065,522.698,597.476,626.925,710.897,702.732,701.354,659.621,656.193,586.256,625.288,671.942,683.876,756.208,813.844,867.086,918.458,973.968,1034.827
North America,3376.402,3823.836,3888.28,4166.879,4618.401,4942.861,5131.122,5477.326,5973.909,6483.171,6880.22,7151.065,7553.064,7975.327,8434.664,8648.434,9160.037,9781.163,10277.437,10967.657,11765.192,12147.255,12533.905,13157.218,14106.214,15174.096,16197.615,17085.367,17526.341,16850.992,17822.502,18673.891,19384.971,20066.714,20774.228,21037.779,21405.926,22391.249,23576.303,24488.523,23714.841,26347.657,28465.764,29800.515,31023.077,32258.185,33511.885
Pacific Islands ,5.931,5.896,5.644,5.54,5.342,4.995,5.439,5.71,7.232,7.168,6.954,7.912,9.017,10.046,11.088,10.501,11.223,10.901,8.615,8.453,8.21,7.504,7.533,9.305,10.744,12.316,13.591,15.369,17.915,17.107,20.347,25.221,28.945,29.24,31.556,29.858,29.243,31.914,33.709,34.392,31.776,35.262,37.771,40.332,42.786,45.315,47.855
South America,581.546,584.403,494.949,463.925,454.685,500.789,564.945,599.354,667.738,731.262,812.286,834.004,892.106,963.512,1146.877,1434.171,1539.304,1636.547,1616.354,1303.976,1378.632,1266.925,996.983,1073.886,1298.036,1657.832,2016.222,2507.445,3046.045,2935.72,3765.585,4441.181,4430.669,4431.866,4305.002,3721.353,3587.415,3899.477,3649.894,3476.315,2838.765,3243.911,3495.375,3700.088,3936.545,4160.674,4386.801
South Asia,250.41,263.568,273.017,288.938,289.356,313.181,330.822,366.555,392.19,398.684,428.16,386.028,409.683,405.808,459.587,510.597,552.011,578.692,586.647,622.71,637.767,652.632,685.504,798.902,926.636,1060.688,1203.291,1522.414,1549.933,1701.33,2079.49,2256.288,2278.801,2338.896,2563.461,2679.842,2906.845,3329.277,3416.224,3576.127,3365.952,3722.847,4090.916,4432.518,4787.148,5170.082,5571.484
